任务/行为,状态,时间,内容,学习内容
✅抵达阿那亚,已完成,2025/12/08,"我现在想在小红书发布一篇阿那亚的旅行介绍
交通方式:软卧转软座的火车,估计是因为软卧慢慢的被高铁替代,确实很慢,唯一的性价比就是价格很优惠!同样的从北京到秦皇岛,高铁只需要1个多小时,而距离近的昌黎县反而需要快3小时;上车前的北京站车站的高度和车门的高度是同一高度,路上基本都有扶梯,拿行李很方便,到了昌黎,下火车还是和80 90 年代那种踩着窄窄陡陡的火车自带梯下去,拿重行李确实不太方便,出站后,滴滴打车差不多15左右就能低到阿那亚社区
我这次选择的是安澜酒店,提前和酒店沟通好,把车牌预输出到系统中就可以自由进出了;到了安澜酒店后,有专门的迎宾小哥帮你从后备箱拿沉重的行李,我去的比较早,12点多就抵达,酒店规定是3点入住,所以我们先寄存了行李,到了行李寄存处,我和女朋友同时感叹,怎么这么多行李都在寄存,不由的羡慕人家的生意好.然后就可以去前台办理社区临时身份证,因为乘坐小巴,以及食堂都需要使用身份证才能乘坐或进入.
翻看小红书,大家对第三食堂都有较高的评价,而且距离安澜酒店很近,穿过酒店室外步行2分钟就抵达下沉广场-第三食堂,这边规矩就是先验社区身份证,然后给你一个小推车,选餐和宜家一样,流水线模式,我们双人点了很多菜,典型的,眼大肚子小,上来就被颜色饱满的各种炸鸡吸引,最后拿了鸡翅,烤小章鱼,肉肠,炒饼,炒饭,豆腐汤,奶茶,腐竹凉菜,一个咕噜肉,虾包十样东西,最终价格是160,确实不错!鸡翅偏甜口的,小章鱼串放凉了,但不影响好吃的味道,肉肠也是非常经典的,炒饼炒饭也很香,奶茶口味也还行,不是很甜,腐竹配着醋也绝了,就是咕噜肉有点腻,也还行.
吃完逛了逛附近的艺术中心(标价100,但入住客人写着20,想了想自己也不是啥有艺术细胞的人,还是算了,没进去),有几家卖衣服,很漂亮,但是价格也是4位数往上,果然,贵的就是不错!最后去了单向空间,里面的各种小玩具真的漂亮,最喜欢的是一个章鱼铜制手机架!¥680,如果有缘人拍了下来请让我膜拜下!
差不多就3点了,我们往回走办理入住,工作人员都很热情,说行李放着儿,他一会儿给我们送上来,那会儿人多,再加上我是背对他的,说了句不用了,谢谢,顺带摇了头,人家没听见,我继续往前走,女朋友就说你这人怎么这么没礼貌,我顿感委屈,我回答了,她说她在那边也没听到.......就这我无语了,巴啦啦批判我半天,现在我也没啥耐心,就此吵了一架....省略300字
终于进了房间,和小红书所讲的一样,日式风格的房间,温馨的各种小提示,还有看着好吃的小零食,真不错! ",
✅发一篇小红书吧,已完成,2025/12/08,,
✅虚界之主 第二章的创作,进行中,2025/12/08,,
,,2025/12/08,,
✅第九神谕 继续创作,已完成,2025/12/09,"10章内容,目前第二卷第20章节",
✅构思继续创作一个oiioii动画,已完成,2025/12/09,矿泉水瓶的一生,
✅打卡 孤独图书馆和礼堂,已完成,2025/12/09,"还听了国外一位钢琴家的即兴表演,共鸣和撞音,可惜我不到3分钟就开始入睡点头了,感觉冷,还把帽子戴上了,睡觉爱听白噪音,钢琴声一响,我就困了,自动进入睡眠!
买了一个柚子酒,贵,第一口还行,但可惜不是饮料,最后浪费了一半.....我没喝
回到酒店,突然想起小时候看的电影,大鲨鱼 就是想不起来,以为是大白鲨系列,看了一会儿发现并不是,是深海狂鲨!超级好看!就是它 一口气开始看到2点",
,,2025/12/09,,
,,2025/12/09,,
❌第九神谕 创作,进行中,2025/12/10,"就创作了一章,一路上都在摸鱼,应该在高铁上搞的,拖延症患者!",
✅吃寿司郎,已完成,2025/12/10,"提前约了可欣 ,到了朝阳大悦城在闲鱼上40买了号! 感觉还行,性价比一般..不是都很好吃",
❌酒店差评,已完成,2025/12/10,"暖气开的比夏天还热,蒸汽炉,收拾下行李都能一身汗,投影仪都热到自动关机!!!!",
✅打卡第三食堂,已完成,2025/12/10,"第三食堂还行,小炒黄牛肉真好吃!",
✅第九神谕 创作,进行中,2025/12/11,完成35章创作,
✅构造新小说-光阴缝补者,已完成,2025/12/11,"3天用ai构思,修改!豆包创作差点意思,还得是deepseek",
✅oiioii一个短片-浪漫短剧,已完成,2025/12/11,一般....,
✅健身,已完成,2025/12/11,今天练的背!,
✅疯狂动物城,已完成,2025/12/12,"今天下雪,很开心",
✅唱歌,已完成,2025/12/12,"ktv 一小时,爽!",
✅找房子,已完成,2025/12/12,"暂定 住到哥哥家的小次卧,周日中午和姐姐吃饭后,去他家看看,然后把价格谈妥",
❌健身,未开始,2025/12/12,"今天户外徒步了,回来偷懒没有走路了",
✅小说反思,已完成,2025/12/12,"我发现自己小说的流量并没有那么大,搜了小红书才发现,因为我每天创作字数太多,导致成为了AI文,我之前一直再走量,没有走质,所以后续调整,我会仔细打磨一部作品,重新开始,每天一部短文,试试水,然后听书一般都是一章2000字左右,我尝试下",
✅收拾东西,进行中,2025/12/13,"将不穿的衣服以及垃圾等整理下,不穿的都放到行李箱中",
✅健身,已完成,2025/12/13,肩 无敌炸裂肩部训练 力竭!,
❌早睡10.30关手机!,,2025/12/13,.....3点才睡,
✅小说创作,已完成,2025/12/13,"每日一本小说创作一章,短篇一部,这是调整后的节奏,希望有流量",
✅小说创作,已完成,2025/12/14,今日调整: 创作了我的酒蒙子舍友短文,
❌健身,,2025/12/14,练一休一是不是白练了,
✅和姐姐见面,已完成,2025/12/14,"虽然中间出了差错,但好歹吃了两顿,在第一家餐馆吃了热乎的牛肉面,第二家涮肉吃的也好,味道不错,尤其是宽粉,惊艳!最后姐夫结的帐,手太快了",
✅去哥家看房子,已完成,2025/12/14,"去把房子的床换成了大床,空间不大,但住我一个足足够用,生活可能不太舒服,但后续再看吧0.0",
✅早点睡,,2025/12/14,"11.30睡的,还行!",
✅小说创作,已完成,2025/12/15,"创作了第九神谕一章节,光阴者一章,还有短文:剑尊渡劫后说他断情绝爱",
❌健身,未开始,2025/12/15,"今日搬家+骑车半小时,也算意义上的健身?",
✅搬家,已完成,2025/12/15,晚上感觉很冷0.0 ,
✅oiioii视频,已完成,2025/12/15,"每个短文的开局就使用视频创作,引流",
✅小说创作,已完成,2025/12/16,"创作了第九神谕一章节46,光阴者一章14,还有短文:逍遥观打工人，在线求功德",
✅俯卧撑,已完成,2025/12/16,做了一组俯卧撑+疯狂走路,
❌oiioii视频,未开始,2025/12/16,感觉效果不好0.0,
✅处理窗户漏风问题,已完成,2025/12/16,,
✅电脑整理!,已完成,2025/12/16,,
✅荟聚,已完成,2025/12/16,"去了逛了宜家,如果找到了工作,给自己买一双黄色ugg!",
✅新的思考,已完成,2025/12/17,"第一,我好好想了想agent,做一个怎样的agent对我有帮助呢?首先是调研,我必须调研市面上所有的小说ai创作,然后进行了解这些解决了什么问题,然后我再决定我要解决那些问题?
第二,我自己使用ai小说这么久了,发现ai味道特别的重,如何消除ai味道,今天在lindo上刚看到一篇文章,好好学习!
第三,针对lindo的文章进行后续补充! 讲述下现状以及对未来的思考!",
✅小说创作,已完成,2025/12/17,创作了第九神谕47章节+光阴者15章节+短文(),
✅健身,已完成,2025/12/17,练胸,
,,2025/12/17,,
✅小说创作,已完成,2025/12/18,"AIGC值太高,一看就是ai生成的,如何通过提示词优化生成的内容呢?",
❌健身,,2025/12/18,做了两组腹肌卷,
"忘了0.0,摆烂吧",,2025/12/19,,
,,2025/12/19,,
,,2025/12/19,,
❌小说,,2025/12/20,,
小说发布搁浅了,,2025/12/20,,
✅拿四件套,,2025/12/21,,
✅和可欣吃了牛肉丸子面,,2025/12/21,,
✅去帮yjj收拾家,,2025/12/21,"去了就帮忙收拾了下电脑桌,还有书架等,这种单间挺舒服,就是太贵了3200一个月,我还是在我哥家的违建卧室待着吧!",
,,2025/12/21,,
接到面试,,2025/12/22,新道科技的面试，24号下午3.30,
✅买喜茶popmart联名,,2025/12/22,跑了两个地方，买到了两个徽章,
✅健身,,2025/12/23,练背,
❌面试复习,,2025/12/23,"我觉得害死了我,没有好好准备,依旧在摆烂",
✅早睡11点半,,2025/12/23,,
,,2025/12/23,,
✅早上剪头,,2025/12/24,"理发剪掉了我2个月的努力,发现坚持初心真的很难,我并没有能抱着不管面对任何问题都能坚持下去的决心!",
✅下午面试,,2025/12/24,"面试了1个小时差不多,对vue的一些基础的我都答不上来,
1. vue的生命周期,每个生命周期都会发生什么,而且针对页面是在哪个阶段完成的,数据在哪个阶段渲染的
2.首页白屏问题如何解决:1.懒加载,图片懒加载,路由懒加载2.代码分割
3.现在运行两个任务,我想随时暂停和继续,解决思路promise的理解
4.三个页面,不同的数据,如何确保任务的顺序执行,并且在第二个任务没有完成就让第三个任务执行,如何让第三个任务开始,并结束第二个任务
5.vue2和vue3的区别,响应式的底层逻辑
6.多患者切换时的页面卡顿问题，采用虚拟列表（Virtual List）技术渲染患者列表
7.接口数据缓存（localStorage）将首页加载速度提升 50%,如何确保获取的是最新的数据
8.如何手写一个深拷贝,深拷贝的实现方式",
✅健身,,2025/12/24,练背,
❌总结,,2025/12/24,"没有好好突击准备,对得起任何坏结果0.0",
摆烂0.0,,2025/12/25,"面试打击到自己脆弱的内心了,直面自己的内心,然后堕落",
打游戏,,2025/12/25,醒来躺着迷茫...,
这两天堕落了,,2025/12/26,,
✅12点之前睡觉！,,2025/12/26,,
❌制定1周学习计划！,,2025/12/27,前端学习计划！,
❌打球,,2025/12/27,,
✅冷静！,,2025/12/27,今日打卡第一天,
今日随笔,,2025/12/27,"下午又去了剪头的地方,充卡600 给yjj和🐷用,服了;让我过去陪说实话,这个路程感觉像无用社交,但兄弟感情这事儿让人有点无法拒绝....挺纠结的,去了果然,坐在肯德基点咖啡,点到了麦当劳,还导航错地方,白走了20分钟,又打车回到了最初的路口.",
德州扑克,,2025/12/27,"今日运气还行,应了你不会任何事情都不顺利,运气不好,事业不顺利,爱情不顺利等哈哈",
✅健身,,2025/12/28,练胸,
❌搓澡,,2025/12/28,"起码得排队1个小时,果断放弃,去了隔壁泰式按摩,确实挺舒服0.0",
今日随笔,,2025/12/28,"回家路上冷风吹,发型什么的都不重要了",
,,2025/12/28,,
🌟重要的日子,,2025/12/29,"今天我在抖音刷到了查理芒格的人生观,我总结了3条
1.出售确定性,这个世界最大的谎言就是年底给你升职加薪,我的任务保证完美完成,这里的困难重重,任何一环都可能会导致任务的失败,以及画饼后无法吃到,这时候我就要确保自己的确定性,我答应的东西按时按量的提交,凡是我答应的事情,也要在截止日期前完成,凡是我经手的事,不需要别人审查,它一定是准确无误的,凡是我在的地方,混乱就会停止,秩序就会建立.也是信任,比钱更值得别人信任.
2.细分领域的垄断者,做行业的头部,而不是什么都懂一点的人,疯狂的深挖,直到我成为这个领域的1%,我前端不仅仅满足于完成任务,而是能懂这个前端为什么存在,存在的底层架构是怎么构建的,控制代码能像控制自己的手臂一样灵活,达到自己的目的,做一个苦行僧,做一个解决特定问题的专家,不能浮躁,过去的28年里,我最大的问题就是浮躁,面对最简单的vue 响应式的原理,我都不懂,vue2和vue3响应式原理最大的不同是什么我都不懂,在面对类似问题发生时我如何解决?这就是我现在最大的问题.
3.持续攒钱,抵御奖励自己的诱惑,做一个冷酷的狙击手,等风停,等光线合适,等目标完全的暴露到视野中,没有阻挡,只有在这个瞬间,我才能一枪致命,日常我要当守财奴,稀金如墨,关键时刻,我要当赌徒,下重注!",
✅解决自己遗忘的方法,,2025/12/29,"学习到一个知识点,在20分钟,1个半小时,3个小时,1天,1周,半个月的时间点去重复,睡前重复!去联想,去深度存储这个记忆点",
✅vue2和vue3的区别,,2025/12/29,,vue2和vue3的区别
今日在家摆烂0.0,,2025/12/30,,
继续在家摆烂,,2025/12/31,,
去放空岛跨年,,2025/12/31,"现场有个大哥说唱rap太牛了,一首麒麟征服了全场!",
睡觉,,2026/01/01,,
德州,,2026/01/01,,
在家摆烂一天休息,,2026/01/02,,
吃饭,,2026/01/02,,
德州,,2026/01/03,,
在家摆烂,,2026/01/04,,
,,2026/01/04,,
在家摆烂,,2026/01/05,,
收到了崔哥的消息,,2026/01/05,"可能大兴机场有点难解决,他向我推荐要不要去,但我看了大部分都需要证书,我都没0.0 ",
,,2026/01/05,,
思考未来方向,,2026/01/06,,
,,2026/01/06,,
,,2026/01/06,,
,,2026/01/06,,
,,2026/01/06,,
,,2026/01/07,,
,,2026/01/08,,
,,2026/01/09,,
天津玩,,2026/01/10,"今日德州,运气太差,虽然是娱乐,但最后输的也不爽0.0",
天津玩,,2026/01/11,"今天去吃了好吃的驴肉火烧,就是上的太迟了,吃不动了0.0",
在家摆烂,,2026/01/12,,
在家摆烂,,2026/01/13,"今天的成就解锁:金铲铲10比尔吉沃特,次完美落幕",
瓦上分,,2026/01/13,"这两天毫无状态,没上分,进入游戏的状态太闷了,毫无斗志",
❌12点睡觉,未开始,2026/01/14,今天争取早睡,
✅健身,已完成,2026/01/14,"今天练的背,照镜子发现自己的肩膀肉掉了,再接再厉!明天练肩",
✅练枪,未开始,2026/01/14,"靶场三件套整起来,外加一个幽梦的无敌眼位",
✅番茄小说写作,进行中,2026/01/14,每个人都是男主角，记录自己每天琐碎的生活也是一种特殊的记忆，时间可能冲刷一切，这时候留痕的记忆就特别重要了，后面还是根据活动内容然后让ai帮忙生成大纲等---明天继续完善吧,
✅10点之前起床,,2026/01/15,早起的鸟儿有虫吃!,
✅健身,,2026/01/15,练肩！今日练到位了,
❌练枪,,2026/01/15,"狠练！游戏结束了，已经卸载了,这里的故事太精彩了，而我是一个特别冲动的人，游戏已经无法放松了，当临近翻盘时大家紧绷的那条弦就蹦了，尤其是你整场游戏中犯得每个错误，都会被放大，玩家只会盯着这个失误导致的失败，然后将原因归结到别人身上，而不是无能的自己，这是很真实的一面，也是人性的恶，我也经常会和自己对话，是不是在我身上也是同样的，是的，我承认，每次上头就会发生类似的事情，其实这个问题很好处理，我可以选择在心情好的时候站出来当和事佬，也可以在心情差的时候发泄。原来每次打游戏的我才是小时候那个无所顾忌的我，可以由着自己的性子来，今天之前很庆幸，今天之后再说吧，之后就是现实的事情。今日日记结束。。。还好今天没有人看到这条信息，如果有人碰巧看到，希望不要走我的后路，少一点狠话，多一点宽容。",
✅番茄小说继续,,2026/01/15,冲！,
思考,,2026/01/15,女朋友说她2月4左右回来，我的想法是她不是从北京转机方便，可以先来北京呆几天，过几天再回昆明出去旅游，主要现在贫穷，出去玩光花她的我也受不了，不过在北京玩的消费 住的地方有，如果不太舒服，期间可以去海德温泉住几晚，剩下的就是吃饭和玩，2月份那会儿可以去天津玩几天也不是不行，刚好我天津还没好好逛过，这里离北京南站近一点，比较方便，到时候去天津玩几天也是一个不错的选择！,
早饭/午饭/晚饭,,2026/01/16,现在都是吃两顿饭，每次到12点就饿肚子，明天早点起床干早饭！不能饿着吧,
健身,,2026/01/16,明天练腿！,
晚上去海德,,2026/01/16,晚上去海德吃夜宵，猛吃！改善下伙食,
番茄小说继续创作！,,2026/01/16,,
新疆菜,,2026/01/17,"继续新疆菜,然后去参加音乐会",
,,2026/01/17,,
台球,,2026/01/18,"去字节和朋友打台球,本来计划健身,熬夜后健身真难受...直接睡了会儿",
健身,,2026/01/18,"熬夜太累,直接放弃",
回家,,2026/01/19,狂欢后的疲惫,
补觉,,2026/01/20,"熬夜太严重了,身体顶不住了,好好睡了一天",
提车,,2026/01/21,"今日交钱发生意外,导致失败",
健身,,2026/01/22,居家用哑铃健身,
收拾家,,2026/01/22,,
提车,,2026/01/22,"今日因为办的外地牌照,依旧失败",
陪哥去4s店提车,,2026/01/23,去了第三趟终于把车开走了,
健身,,2026/01/23,练背,
晚上剧本杀,,2026/01/23,玩的swich 和 剧本杀,
喝酒,,2026/01/23,"花钱就是突然的,一晚上花了1000左右",
skill学习,,2026/01/24,今日扣子skill是啥,"skill就是有一个md说明文档和附件组成的文件夹,把这个文件夹扔给agent,它会习得该技能"
吃饭,,2026/01/25,和可欣还有壮壮聚餐,
分分合合,,2026/01/26,腊八节快乐，喝了粥，愉快的周末就过去了，和南分别北京，下次过年再见！,
✅健身,,2026/01/27,居家健身,
打游戏,,2026/01/27,打了半下午游戏，然后睡了会儿，晚上继续玩了会儿,
学习,,2026/01/28,前端开发ts zod 的进阶学习,
✅跑步3km,,2026/01/28,最近的脸有点浮肿了，有氧来一波,
练枪,,2026/01/28,定位+拉枪+瞄准+压枪+跟枪,
商讨北京酒店,,2026/01/28,桔子酒店-北京国展三元桥店,
✅商定北京行程,,2026/01/28,2.4下午2点接机，然后坐车去三元桥 晚上吃湘菜金钱蛋！2.5中午去吃苏坦土耳其餐厅，下午买票去天津,
✅商定天津行程,,2026/01/28,2.5下午入住酒店，晚上去吃津门张记包子，2.6中午去吃燕春楼，下午去立即普旧居咖啡，晚上去摩天轮，2.7随便逛逛晚上回北京,
✅健身,,2026/01/28,100个仰卧起坐+100个俯卧撑+100个练习,
✅健身,,2026/01/29,腹肌训练+肩部训练+晨跑+爬楼,
✅练枪,,2026/01/29,定位+拉枪+瞄准+压枪+跟枪,
✅下单北京酒店,,2026/01/29,桔子酒店-北京国展三元桥店,
✅复习昨天学习的内容,,2026/01/29,ts基础,
健身,,2026/01/30,练肩,
学习,,2026/01/30,视频课,
,,2026/01/30,,
健身,,2026/01/31,练胸和腿,
学习,,2026/01/31,把视频课程听完 敲完了,
✅ktv玩阿瓦隆,,2026/02/01,8个人今天猛c，无敌,
✅涮肉,,2026/02/01,晚上吃饭！,
✅健身,,2026/02/02,练背,
✅瓦上分,,2026/02/02,被虐的体无完肤，7连败告终,
学习,,2026/02/02,视频课看看网上有没有全套便宜拼的,
学习,,2026/02/03,c,
接女友,,2026/02/04,"首都真远,跑了2小时!",
漂亮饭,,2026/02/04,"去吃了外国饭,不好吃!",
金钱蛋!,,2026/02/05,"终于吃到了心心念念的金钱蛋,小炒黄牛肉无敌!",
下午赶去天津,,2026/02/05,"晚上吃的啥忘记了,但是路上喝的烧仙草太撑了,还有好吃的巧克力蛋挞!无敌",
摩天轮,,2026/02/06,"听说是分手之眼,试了试,感觉感情依旧很稳固,看起来还是得科学!",
吃包子,,2026/02/06,"去吃了包子,感觉一般,不如杭州小笼包一丝一毫",
煎饼,,2026/02/06,"中午吃了煎饼果子,感觉也一般",
鹤岗烧烤,,2026/02/06,"挺好吃的,尤其是炒方便面!",
听相声,,2026/02/06,"谦祥益相声,还不错,中间有一个不太行,其他的都听有意思,最后女友还中奖了,夸张!",
燕春楼,,2026/02/07,"踩雷了,感觉都挺一般的,还贵,不好吃!",
钟楼,,2026/02/07,去看了有名的世纪钟,
意大利风景区,,2026/02/07,"去看了周围建筑,特别标记了马可波罗雕塑",
李吉普故居,,2026/02/07,"喝了它门票送的咖啡,不好喝!",
张大帅的故居,,2026/02/07,"里面有场景演绎区,感觉还挺好玩的,能做任务,可惜没有安排该行程,最后听了听快板!",
图书馆,,2026/02/07,"很漂亮,然后两个人在休息区的板凳上睡了半小时!",
送女友去大兴机场,,2026/02/08,"今天又刮了彩票,女票中了100,我果然是运气加持者!",
插曲,,2026/02/08,"离别之际,行李箱拿错了,我站在地铁刷码机前接到了电话才发现!",
耳朵眼,,2026/02/08,,
林士西餐,,2026/02/08,离得近的倒闭了,
健身,,2026/02/09,练背,
剪头,,2026/02/09,剪的超级短,
拿鞋,,2026/02/09,"把大部分的鞋都拿走了,还有几个薄的先放着吧,不好拿了",
✅回家,,2026/02/10,"开车从北京到洪洞,路上8个小时,已经开了2小时了,还有6个小时就能回家!加油",
❌学习,,2026/02/10,看一节课的视频,
❌学习,,2026/02/11,看会儿前端视频课吧,
✅健身,,2026/02/11,游泳1km,
,,2026/02/11,,
✅健身,,2026/02/12,"练肩,做了14kg*12+16kg*12+18kg*12+20kg*12+22kg*5的推肩 ; 飞鸟10kg*12+8kg*10+4kg*12;后束:50kg*12+55*8",
✅学习,,2026/02/12,西蒙学习法,
健身,,2026/02/13,今天练二头和手臂还有背或者胸,
学习,,2026/02/13,"绘制学习地图,存放到大脑中",
明天情人节,,2026/02/13,12点后再睡,
日记,,2026/02/14,"今天他们来我家呆了一下午,然后去买了对联逛了街",
日记,,2026/02/15,"今天收拾家,和妈妈一起去超市采购了下东西",
日记,,2026/02/16,"今天除夕,贴了一上午对联,下午回家一起吃饭,然后把我弟弟送到爷爷家,我们去加油洗车,最后干啥忘了...",
日记,,2026/02/17,"今天大年初一,早上吃了饭,中午去爷爷奶奶家看望,吃饭,下午去网吧看望他们",
日记,,2026/02/18,"今天初二,和海涛在网吧上网,感觉空气质量太差,玩的晕的不行,晚上去逛了逛新文化中心,看了看风景",
日记,,2026/02/19,"今天初三,回了姥姥家,帮忙做饭洗碗,姥爷去世后,再也吃不到好吃的大炒了!",
日记,,2026/02/20,"今天初四,例行往年惯例,在海涛家涮火锅,下午去打球,晚上泽华还有王瑞和熊熊吃了顿饭",
吃饭,,2026/02/21,"今天和王伟伯伯一家吃饭,恋根饭店,算是应酬吧,下午回家睡觉,感觉很疲惫,累死我",
游泳,,2026/02/22,1km,
和朋友最后一次压马路,,2026/02/22,"在老地方逛街,然后吃好吃的肉丝和擦格斗,嘿嘿嘿",
日记,,2026/02/23,"今天下午来海南海边吃了一个好吃的螃蟹还有椰子饭,还有外婆家的清补凉,无敌!",
日记,,2026/02/24,"今天看了月川的几套房,下午去海边溜达了一圈,吃了好吃的饭",
日记,,2026/02/25,"今天看了珠江丽豪几套房子,还有别的地方,感觉只有月川和丽豪这套可以,最后就决定这俩选一下",
日记,,2026/02/26,"今天和中介确定了租珠江这套海景房,小区自带泳池,挺好的,家电和家具啥的都齐全,周围有个夜市也有超市,唯一不太方便的就是离上班有点远,我在三亚可以骑电动带她上下班,但是我走后她坐公交就不太方便了.只能打车",
日记,,2026/02/27,"收拾家,拆了拆快递,去吃了烧烤,两人真吃了不少!",
第一天上班,,2026/02/28,"女朋友第一天上班!早上送她上班后,在咸鱼上找到租电动的,270一个月,还行,我就租了下来,晚上我骑车吹风溜达了一圈,拓宽了我的地图",
周末放松,,2026/03/01,"今天周末,早上带女朋友吃了好吃的早餐油条,还有好吃的韭菜盒子,然后逛了逛超市,吃了清补凉,下午游泳,运动,做饭,真不错!",
上网,,2026/03/01,"女朋友在旁边玩4399小游戏,笑死我了,还很认真,看得我搞笑的不行.",
" ",,2026/03/01,,
做饭,,2026/03/02,"今天做了焖面,爱吃好吃!就是没有酱油上色",
游泳,,2026/03/02,"天气下雨,无法游泳!",
铲铲,,2026/03/03,"继续上分,今天神射小跑猛猛上分,牛的",
游泳,,2026/03/03,游泳500m,
游泳,,2026/03/04,游泳500m,
铲铲上大分,,2026/03/04,猛上分,
游泳,,2026/03/05,游泳1km,
铲铲,,2026/03/05,"猛上分,600多分了",
闲谈,,2026/03/06,"晚上和女朋友聊了未来,没有工作有什么未来,确实,最近很难受,觉得还是得找一份工作,然后去挣钱,现在最大的愿望就是挣钱!",
游泳,,2026/03/06,游泳1km,
铲铲,,2026/03/06,"区服的压力太大了,宗师800分才能有机会晋级大宗师,1800分才有机会晋级成功,2800才有机会王者,现在很难啊,今天选的阵容有点烂了,现在盗宗太猖狂,两个3星四费都吃不了分,太难受了.",
